document_ptr_id,summary,outcome,collaborations,strategic,staff,budget,director_scd_comment,director_outputprogram_comment,background
247,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
248,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
249,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
250,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
251,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
252,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
253,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
254,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
255,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
256,,,,,"[[""Role"", ""Year 1"", ""Year 2"", ""Year 3""], [""Scientist"", """", """", """"], [""Technical"", """", """", """"], [""Volunteer"", """", """", """"], [""Collaborator"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Consolidated Funds (DPaW)"", """", """", """"], [""External Funding"", """", """", """"]]",,,
