document_ptr_id,year,progress_report,report_id
1079,2014,"<p>Overall, a total of 66 cats (30 male and 36 female) and 101 rats (47 males, 53 females and one not recorded) collected from Christmas Island have been necropsied and samples collected for further testing. A high prevalence of parasitic infection was found in these hosts with greater than 84% of both cats and rats found to be harbouring at least one parasite species and up to six (for cats) and seven (for rats) different parasite species (total infracommunity richness, ICR). Overall, 18 different helminth genera were represented, with a local richness of 10 species identified in cats (representing four Phyla; Nematoda, Cestoda, Trematoda, and Acanthocephala) and 12 species identified in rats (three Phyla; Nematoda, Cestoda, and Acanthocephala). The local richness and total infracommunity richness found in this study is higher than expected. This is due to the island syndrome which dictates that island communities should typically have a high prevalence but a low richness of parasite species due to the founder effect. However this study has found an unusually high local and infracommunity richness, the reasons of which are still to be elucidated.</p>
<p>This study detected no significant correlations with body condition and parasite community ecology in cats; however overall presence of parasites and total infracommunity richness is found to be significantly correlated with body condition in rats. Gender was also found to play a role in parasite community ecology with female cats being more likely to harbour a greater total and visceral infracommunity richness as well as intensity of the bile duct fluke, <em>Platynosomum concinnum</em>. In opposition to this male rats were more likely to have a high intensity of the tapeworm, <em>Taenia taeniaeformis</em>. In addition to a high number of parasites that have a potential conservation and zoonotic significance, this study also expands the geographic range of eight parasite species as well as the discovery of a potentially novel Spirurid species in rats. These results indicate that a suite of parasites were inadvertently introduced to Christmas Island along with the introduction of both cats and rats. A number of these parasites require suitable intermediate hosts to persist and given the paucity of mammalian species on Christmas Island, we need to consider the involvement of alternative host species in maintaining transmission cycles. Molecular screening of tissue samples for <em>Leptospira</em> spp. in both cats and rats is due to be performed shortly. Screening is also underway for the presence of feline and rodent <em>Hepatozoon</em> spp. and piroplasms e.g. <em>Babesia</em> spp. with preliminary screening producing positive results.</p>",1
1085,2014,"<p>Sandalwood oil is one of the world's most valuable essential oils. Western Australian sandalwood, <em>Santalum spicatum</em>, is one of seven commercially valuable sandalwood species well known for its pleasant fragrance and importance to many Asian cultures. <em>S. spicatum</em> is currently harvested from natural stands and, due to past exploitation combined with slow regeneration and habitat loss, there is concern over the sustainable management of this species. Plantation production alleviates pressure from natural populations and ensures a sustainable supply of sandalwood in the future. Mature heartwood of <em>S. spicatum</em> contains a diverse array of cyclic and acyclic terpenoid skeletons, including bergamotene, farnesene, santalenes and the highly sought after fragrance ingredients, the santalols. Oil production is not consistent with either heartwood yield or composition, so the current research attempts to better understand this variation by investigating the natural genetic and chemical diversity, genes involved in oil biosynthesis, and the different environments in which <em>S. spicatum</em> grows in Western Australia.</p>
<p>Several P450 candidates have been selected from genomic libraries derived from <em>S. album</em> and <em>S. spicatum</em> wood tissue and tested in a yeast system that has successfully produced the santalol precursors in vivo. A 454 library for <em>S. spicatum</em> has been constructed to enable further characterisation of genes in order to advance plantation development through improved selection and to reduce strains on natural populations. This gene-mining approach has enabled the characterisation of a fourth terpene synthase (TPS) from <em>S. spicatum</em> and identification of four new TPS genes. A chemotaxonomic investigation of approximately 200 individuals distributed throughout the Wheatbelt (predominantly), Goldfields, Shark Bay and Carnarvon has been completed to identify specific chemotypes. Results suggest chemical diversity within and between regions, with some individuals exhibiting high santalol and low farnesol content, an undesirable constituent. An &alpha;-bisabolol chemotype may be present in the Goldfields as well as an &alpha;-santalol chemotype in northern trees. For these individuals, genetic analyses using microsatellite data are being applied to aid understanding of the genetic structure of this species and the relationship to heartwood oil content. Results confirm previous studies on the presence of two genetic groups of <em>S. spicatum</em> in the arid north and semi-arid south-west. Environmental data, including host species and distances, tree height, diameter, soil type and pH and rainfall have been collected from the field to carry out statistical analysis to identify any significant relationships between oil yield and composition, genetics and these various environmental factors. Statistical results thus far have identified santalol and farnesol as two key components driving the variability in heartwood chemistry, which is important for future breeders who wish to select trees with high santalol content and conversely low farnesol content. A relationship between genetic distance and oil composition was also found, indicating a geographic component to oil composition. Results of the studies will be applied to the future conservation of <em>S. spicatum</em>, improvement of plantation management with the potential of metabolic engineering of desirable oil constituents in vitro.</p>",1
1086,2014,"<p>Species with restricted distributions, known as short-range endemics (SREs) are more susceptible to extinction than those that occupy a wide range and variety of habitats. The Yilgarn Banded Iron Formations (BIF; 500km north-east of Perth) are biodiversity hotspots that harbour many SREs. This project will examine the genetic diversity and structure present in three, co-occurring Yilgarn SREs in order to determine their evolutionary history and to identify regions of high genetic diversity and therefore conservation significance.</p>
<p>Genetic data, using selected chloroplast DNA markers, indicated low genetic diversity and some genetic structuring in both plant species. Nuclear data in <em>B. arborea</em> is also indicating low levels of genetic variation and structure. Results for the millipede <em>A. bamfordi</em> using selected mitochondrial DNA markers indicated genetic structuring across BIF ranges, with a pattern indicative of an historical vicariance event leading to isolation of BIF populations during the mid-Pleistocene around one million years before present. Both mitochondrial and nuclear genetic markers show higher genetic diversity in the large, more topographically complex BIFs and this has significant conservation implications for the future management of the species. This project has now been completed and a PhD thesis submitted.</p>",1
1090,2014,"<p>The aim of this study was to determine the trophic role of pomacentrid fishes as herbivores on temperate algal-dominated reefs, with a particular focus on the abundant species <em>Parma mccullochi</em>. The study was undertaken in Marmion Marine Park and determined the diet of this species, including ontogenetic changes, and the impact of grazing by pomacentrids on algal production and the composition of temperate reef algal communities.</p>
<p><em>Parma mccullochi</em> was found to be a strict herbivore, feeding almost entirely on foliose and filamentous red algae and the diets of juvenile and adult fish did not differ. Electivity indices indicated that <em>P. mccullochi</em> specifically selected these algaes. Macroalgae differed significantly inside and outside <em>P. mccullochi</em> territories and a caging experiment in territories indicated a moderate effect on the composition of recruiting algae.</p>
<p>This thesis successfully passed examination and a paper titled 'The territorial herbivorous fish <em>Parma mccullochi</em> (Pomacentridae) strongly influences algal assemblages in temperate reefs' is currently in review at <em>Marine Ecology Progress Series</em>.</p>",1
1091,2014,"<p>Little is known about herbivory by fishes in temperate reefs and even less about the species that play an important role in this process. Kyphosids are an abundant family of herbivorous fishes widely distributed in the southern hemisphere, and especially in both temperate and tropical waters of Australia; however, the ecology of these fishes in temperate latitudes is poorly understood. The aim of this project is to determine the role of kyphosids in algal herbivory in reef ecosystems, and the factors affecting their grazing activity.</p>
<p>Field studies in Marmion and Ningaloo marine parks have now been completed, as have pilot studies on how to best survey kyphosids and assess their diets. A quantitative study of habitat use has been completed and all fishes required for laboratory work in the study have been collected. These fishes are currently being processed to compile data sets on morphology and diet.</p>",1
1094,2014,"<p>Vertebrate fauna translocations, particularly to mainland sites, have a low rate of success (&lt;30%). One potentially contributing factor that has been poorly studied is the impact of parasite loads and pathogenic disease in founder individuals during the stressful establishment period. Each individual carries many species of ectoparasite, enteric parasites and haemoparasites, which may impact directly or indirectly on the host or other species in the environment of the establishing population. For example, blood parasites in the <em>Trypanosoma</em> group have been closely associated with the decline of the woylie, <em>Bettongia penicillata</em>. This work aims to assess the survivorship impacts of disease and parasite load within the establishing population of golden bandicoots (<em>Isoodon auratus</em>) and boodies (<em>Bettongia lesueur</em>) during the first 18 months of translocation.</p>
<p>We experimentally manipulated the population by regularly dosing half the animals with a broad spectrum antiparasitic treatment in order to disrupt the life cycles of a variety of ecto, enteric and haemoparasites. During this intensive monitoring, other demographic and life history data were collected, as well as biological samples such as blood, DNA and faecal samples. Progress to date includes longitudinal trapping and data collection following the release of 160 golden bandicoots from Barrow Island and 170 boodies from Dryandra and Barrow Island. Approximately 800 blood samples were analysed for species-specific detection of <em>Trypanosoma copemani</em> and <em>T. vegrandis</em>. Ectoparasites were identified to species level to determine whether there has been a change in species diversity in the new environment, and to determine the effectiveness of the antiparasitic treatment. Presence of these trypanosomes and ectoparasites were added to models of survivorship to determine if there was a relationship, as well as to follow the pattern of infection across the population. Skeletal and mass measurements, body condition and fecundity of golden bandicoots released at Lorna Glen and Hermite Island were compared to long-term monitoring data from the source population. Upon establishment at both new sites, translocated males increased in condition (i.e. body mass but not skeletal size) and females showed an increased reproductive output. Bandicoots born at translocation sites were significantly larger and heavier (P &lt; 0.0001 and P &lt; 0.0001 respectively) than the founders from the island population within 18 months of establishment. This change in skeletal size, mass and fecundity took place in a single generation at both mainland and island translocation sites, suggesting that the response is not one of evolution by natural selection. This study demonstrated that the small size of golden bandicoots on Barrow Island is not a genotypic response to selective pressures, but rather a phenotypic response to conditions on the island. When translocated to vacant ecological niches, they have the capacity to produce offspring with increased body mass, size and reproductive output. We suggest that ecological processes relating to resource limitation drive 'island dwarfism' in <em>I. auratus</em>.</p>
<p>This PhD study has been completed and the thesis is being prepared.</p>",1
1095,2014,"<p>This project investigates genetic factors that will contribute to improved fauna translocation success.</p>
<p>Investigation of the fine-scale genetic structure of a mainland dibbler (<em>Parantechinus apicalis</em>) population in and around Fitzgerald River National Park (FRNP) using spatial autocorrelation suggests a significant relationship between genetic and geographic distances between trapping locations. Dibblers located at least 20km away were less likely to be related than dibblers found within 20km.</p>
<p>Genetic and demographic data are being assessed in dibblers from the translocated Escape population, Boullanger population and Whitlock population. Genetic data has been collected, and demographic data of the Boullanger and Whitlock populations are being gathered from the past records.</p>
<p>The animals for the dibbler translocation to Escape Island were sourced from populations on Boullanger and Whitlock islands that are genetically distinct and have slightly different body sizes. Genetic analysis show evidence of genetic mixing which started from the captive bred colony and continued in the Escape population. However, the mixing seemed to bias toward the Boullanger ancestor, and appears to be size related. Females were observed to preferred heavier males. A low effective population size of approximately eight dibblers was estimated from the genotypic data. Morphological comparisons between different offspring groups, after taking gender differences into account, showed no significant differences except for the head length. However, the sample size was small. Population viability analysis suggested the Escape population will persist for another 70 years. A supplementation as low as seven pairs of dibblers every 10 years can prolong population's persistence.</p>
<p>Investigation of a burrowing bettong translocation to where animals were derived from two genetically and morphologically distinct source populations, Barrow Island and Dorre Island, showed evidence of genetic mixing. The new population had higher genetic diversity in both nuclear and mitochondrial DNA than its parental populations. However, the results suggested a genetic bias toward larger Dryandra bettongs. Based on mtDNA, 70% of interbred offspring were born from Dryandra mothers and Barrow Island fathers. This suggested that the uneven founder proportion from each source population may influence the genetic bias. Offspring morphology showed a positive relationship between the offspring body size and the parental genetic percentage, where the interbred offspring were larger than expected.</p>",1
1106,2014,"<p>The functioning of fish assemblages rests mainly on the trophic status of species. Gut content analyses provide insight into feeding behaviours and lead to better understanding of the complex interactions between fish species. Mesopredators are common on coral reefs and fluctuations in their abundance may influence prevalence of prey. However, there is a lack of information on mesopredator diets, making it difficult to assess how changes in their abundance will influence prey, reef trophodynamics and ecology.</p>
<p>This study examined the gut content of four mesopredator species: <em>Epinephelus rivulatus</em>, <em>Parapercis clathrata</em>, <em>Pseudochromis fuscus</em> and <em>Synodus dermatogenys</em>. Mobile benthic invertebrates, particularly decapods, were the main item in the diet of three mesopredator species. However, one species, <em>S. dermatogenys</em>, fed exclusively on other fish species. A manuscript based on this work has been published in the <em>Journal of Fish Biology.</em></p>",1
1096,2014,"<p>To assess natural recruitment success amongst species and better inform translocation success criteria, seedling growth and mortality was monitored at three burnt sites, over two seasons, for a range of <em>Acacia</em> and <em>Banksia</em> species. Further investigation of translocation success criteria was carried out through experimental translocations of Critically Endangered <em>Banksia ionthocarpa</em> ssp. <em>ionthocarpa</em> and <em>Acacia awestoniana</em>. In <em>Banksia ionthocarpa</em> ssp. <em>ionthocarpa</em> survival of seedlings after two years was high at 75%, with seedlings in plots that were automatically watered weekly during summer showing increased survival and enhanced growth when compared with seedlings that were manually watered once a month. Of three different microhabitats seedlings had higher survival and grew most in the low heath plots. In <em>Acacia awestoniana</em> survival of seedlings after two years was very high at 81%, with treatments not showing significant differences with respect to survival, although there were substantial differences in terms of growth. Plants that were watered weekly or monthly during summer showed enhanced growth when compared to non-watered plants. A PhD thesis has been submitted.</p>",1
1098,2014,"<p>This project aimed to determine if there is regional variation in the understorey of <em>Eucalyptus salmonophloia</em> woodlands across the Great Western Woodlands (GWW) and, if so, what environmental factors were influencing it. The project then integrated relevant existing survey data from across the Wheatbelt to assess the variation across the two bioregions in which salmon gum woodlands occur, Avon-Wheatbelt and Coolgardie. This project fills large gaps in the floristic surveys of the GWW, which have previously focused on the banded ironstone and greenstone ranges. One hundred sites were sampled in spring 2011 and 2012, in old growth woodlands or woodlands where the timber cutting and/or grazing history could be estimated. Data was collected on species composition, cover and height, tree dimensions, site-based variables, and soil physical and chemical characteristics. Detailed classification and ordination of the data revealed two main communities; one with an understorey of mainly chenopod species on soils higher in clay found in the drier north and east of the GWW, and the other with non-chenopod species (e.g. <em>Eremophila</em> spp., <em>Acacia</em> spp., <em>Scaevola spinescens</em> and <em>Alyxia buxifolia</em>) found on sandier soils in the wetter south and west. Precipitation, monthly precipitation variability and temperature, and to a lesser extent soil phosphorous, pH, silt content, and cover of organic crust influenced the patterns in floristic composition and differentiated between the two main communities. When data from the Wheatbelt was incorporated the two GWW communities remained prominent and were joined by two Wheatbelt communities and one community (with <em>Melaleuca pauperiflora</em>) that traversed the two regions. Across this larger area the influence of the annual precipitation gradient and ratio of summer to winter rainfall (less in the east) was strong. Generally regional factors (such as climate) were more influential on the floristic patterns that local (such as soil) factors. This project has contributed to knowledge about these woodlands relevant to their conservation status, delineation of subregional boundaries and land management activities. The salmon gum - chenopod shrublands burn less frequently as they are less flammable and have a more sparse cover that the salmon gum - eremophila woodlands which are experiencing fire more frequently and consequently being reduced in extent. Vouchers for all species collected will be lodged in the Perth Herbarium and the field data will be lodged with TERN-&AElig;KOS.</p>",1
