id,effective_from,effective_to,creator_id,modifier_id,created,modified,polymorphic_ctype_id,name,description,leader_id,association,active
11,2015-08-10 18:57:30.257194+08:00,,1,4,2015-08-10 18:57:30.257228+08:00,2016-02-03 13:15:59.220474+08:00,39,"<p class=""western"" align=""left"">Hydrological management</p>","<ul>
<li>Provides knowledge base for management of Ramsar and high conservation value wetlands under CALM Act</li>
<li>Provides advice for assessment of developments under CALM Act</li>
</ul>",22,"<ul>
<li>Wetland Conservation Science Program</li>
</ul>",True
7,2015-08-10 18:55:13.137136+08:00,,1,4,2015-08-10 18:55:13.137169+08:00,2016-02-03 13:14:36.561963+08:00,39,"<p class=""western"" align=""left"">Marine monitoring and research</p>","<ul>
<li>Undertakes monitoring for auditing of marine park and reserve management through Marine Parks and Reserves Authority</li>
<li>Undertakes research to improve marine park and reserve management and protect marine wildlife under statutory management plans, including contributing to the Kimberley Science and Conservation Strategy</li>
<li>Implements offset projects for marine conservation</li>
</ul>",27,"<ul>
<li>Marine Science Program</li>
</ul>",True
8,2015-08-10 18:55:54.974261+08:00,,1,4,2015-08-10 18:55:54.974292+08:00,2016-02-03 13:15:05.208180+08:00,39,"<p align=""left"">Forest monitoring and research</p>","<ul>
<li>Undertakes monitoring for auditing under the Forest Management Plan</li>
<li>Undertakes research to support and improve forest management under the Forest Management Plan</li>
</ul>",17,"<ul>
<li>Ecosystem Science Program</li>
</ul>",True
6,2015-08-10 18:54:44.060254+08:00,,1,4,2015-08-10 18:54:44.060288+08:00,2016-02-03 13:13:52.225435+08:00,39,"<p class=""western"" align=""left"">Bushfire research</p>","<ul>
<li>Provides knowledge to support best practice fire management for community protection and biodiversity conservation</li>
<li>Implements response to recommendation in Keelty report</li>
</ul>",17,"<ul>
<li>Ecosystem Science Program</li>
</ul>",True
3,2015-08-10 18:51:03.223108+08:00,,1,4,2015-08-10 18:51:03.223140+08:00,2016-02-03 13:06:07.984425+08:00,39,"<p class=""western"" align=""left"">Landscape scale conservation</p>","<ul>
<li>Undertakes landscape scale conservation projects under government programs such as Kimberley Science and Conservation Strategy and Western Shield, to mitigate threats and restore ecosystems in the Kimberley, Pilbara, Goldfields and on Dirk Hartog Island</li>
<li>Provides knowledge base to prioritise, develop and implement introduced animal control and eradication programs</li>
<li>Provides knowledge base to prioritise, develop and implement weed control and eradication</li>
</ul>",17,"<ul>
<li>Animal Science Program</li>
<li>Plant Science &amp; Herbarium Program</li>
<li>Ecosystem Science Program</li>
<li>Environmental Management Branch</li>
</ul>",True
4,2015-08-10 18:53:24.315388+08:00,,1,4,2015-08-10 18:53:24.315427+08:00,2016-02-03 13:10:27.398187+08:00,39,"<p class=""western"" align=""left"">WA Herbarium</p>","<ul>
<li>Manages the State&rsquo;s collection of plant, algae and fungi specimens under Conservation and Land Management Act</li>
<li>Describes new plant species and revises plant names where required</li>
<li>Maintains information systems on plant identification, geographical distribution and descriptions under Wildlife Conservation Act and Environmental Protection and Biodiversity Conservation Act</li>
<li>Provides knowledge for the management of plant species, including providing advice for development assessments</li>
<li>Improves community understanding and support for conservation through volunteer engagement</li>
</ul>",11,"<ul>
<li>Plant Science &amp; Herbarium Program</li>
</ul>",True
22,2016-02-03 13:23:11.083767+08:00,,4,1,2016-02-03 13:23:11.083798+08:00,2018-07-04 15:49:59.026476+08:00,39,<p>Roadside Conservation Committee</p>,"<ul>
<li>Provides executive support to the Roadside Conservation Committee, which coordinates the protection of threatened plants and ecological communities occurring on roadsides</li>
<li>Undertakes roadside vegetation condition mapping</li>
</ul>",,"<ul>
<li>Species and Communities Branch</li>
</ul>",False
17,2016-02-03 13:19:27.192639+08:00,,4,1,2016-02-03 13:19:27.192669+08:00,2018-07-04 16:03:50.829344+08:00,39,<p>Revegetation</p>,"<ul>
<li>Development of revegetation practices</li>
<li>Management of oil mallee seed orchards</li>
</ul>",,"<ul>
<li>Ecosystem Science Program</li>
</ul>",False
10,2015-08-10 18:56:56.147966+08:00,,1,1,2015-08-10 18:56:56.148021+08:00,2018-07-04 15:58:28.377008+08:00,39,<p>Wetland monitoring and management</p>,"<ul>
<li><span style=""font-family: Arial, sans-serif;"">Long term monitoring of wetland condition and threats across high conservation value wetlands in the south-west to improve management</span></li>
</ul>",22,"<ul>
<li>Wetland Conservation Science Program</li>
</ul>",True
5,2015-08-10 18:54:08.684966+08:00,,1,1,2015-08-10 18:54:08.685000+08:00,2018-07-04 16:05:19.629753+08:00,39,<p>Wildlife assets and inventory</p>,"<ul>
<li>Undertakes surveys of plants, animals and terrestrial and wetland ecosystems to provide the knowledge base for establishment and management of parks and reserves under CALM Act</li>
<li>Provides advice for environmental impact assessment for mining, industrial and residential developments under CALM Act</li>
<li>Provides information for identifying and listing threatened species and plant and animal communities under Wildlife Conservation Act</li>
<li>Identifies values that underpin joint management of lands with traditional owners</li>
</ul>",93,"<ul>
<li>Biogeography Program</li>
<li>Wetland Conservation Science Program</li>
</ul>",False
