id,creator_id,modifier_id,created,modified,name,description,leader_id,association,active
11,1,4,2015-08-10 18:57:30.257228+08:00,2016-02-03 13:15:59.220474+08:00,Hydrological management,Provides knowledge base for management of Ramsar and high conservation value wetlands under CALM ActProvides advice for assessment of developments under CALM Act,22.0,Wetland Conservation Science Program,True
7,1,4,2015-08-10 18:55:13.137169+08:00,2016-02-03 13:14:36.561963+08:00,Marine monitoring and research,"Undertakes monitoring for auditing of marine park and reserve management through Marine Parks and Reserves AuthorityUndertakes research to improve marine park and reserve management and protect marine wildlife under statutory management plans, including contributing to the Kimberley Science and Conservation StrategyImplements offset projects for marine conservation",27.0,Marine Science Program,True
8,1,4,2015-08-10 18:55:54.974292+08:00,2016-02-03 13:15:05.208180+08:00,Forest monitoring and research,Undertakes monitoring for auditing under the Forest Management PlanUndertakes research to support and improve forest management under the Forest Management Plan,17.0,Ecosystem Science Program,True
6,1,4,2015-08-10 18:54:44.060288+08:00,2016-02-03 13:13:52.225435+08:00,Bushfire research,Provides knowledge to support best practice fire management for community protection and biodiversity conservationImplements response to recommendation in Keelty report,17.0,Ecosystem Science Program,True
3,1,4,2015-08-10 18:51:03.223140+08:00,2016-02-03 13:06:07.984425+08:00,Landscape scale conservation,"Undertakes landscape scale conservation projects under government programs such as Kimberley Science and Conservation Strategy and Western Shield, to mitigate threats and restore ecosystems in the Kimberley, Pilbara, Goldfields and on Dirk Hartog IslandProvides knowledge base to prioritise, develop and implement introduced animal control and eradication programsProvides knowledge base to prioritise, develop and implement weed control and eradication",17.0,Animal Science ProgramPlant Science & Herbarium ProgramEcosystem Science ProgramEnvironmental Management Branch,True
4,1,4,2015-08-10 18:53:24.315427+08:00,2016-02-03 13:10:27.398187+08:00,WA Herbarium,"Manages the State’s collection of plant, algae and fungi specimens under Conservation and Land Management ActDescribes new plant species and revises plant names where requiredMaintains information systems on plant identification, geographical distribution and descriptions under Wildlife Conservation Act and Environmental Protection and Biodiversity Conservation ActProvides knowledge for the management of plant species, including providing advice for development assessmentsImproves community understanding and support for conservation through volunteer engagement",11.0,Plant Science & Herbarium Program,True
22,4,1,2016-02-03 13:23:11.083798+08:00,2018-07-04 15:49:59.026476+08:00,Roadside Conservation Committee,"Provides executive support to the Roadside Conservation Committee, which coordinates the protection of threatened plants and ecological communities occurring on roadsidesUndertakes roadside vegetation condition mapping",,Species and Communities Branch,False
17,4,1,2016-02-03 13:19:27.192669+08:00,2018-07-04 16:03:50.829344+08:00,Revegetation,Development of revegetation practicesManagement of oil mallee seed orchards,,Ecosystem Science Program,False
10,1,1,2015-08-10 18:56:56.148021+08:00,2018-07-04 15:58:28.377008+08:00,Wetland monitoring and management,Long term monitoring of wetland condition and threats across high conservation value wetlands in the south-west to improve management,22.0,Wetland Conservation Science Program,True
5,1,1,2015-08-10 18:54:08.685000+08:00,2018-07-04 16:05:19.629753+08:00,Wildlife assets and inventory,"Undertakes surveys of plants, animals and terrestrial and wetland ecosystems to provide the knowledge base for establishment and management of parks and reserves under CALM ActProvides advice for environmental impact assessment for mining, industrial and residential developments under CALM ActProvides information for identifying and listing threatened species and plant and animal communities under Wildlife Conservation ActIdentifies values that underpin joint management of lands with traditional owners",93.0,Biogeography ProgramWetland Conservation Science Program,False
