id,creator_id,modifier_id,created,modified,name,slug,published,program_leader_id,cost_center,finance_admin_id,data_custodian_id,focus,introduction,image,division_id
3,1,1,2014-06-05 20:28:10.343000+10:00,2022-05-20 14:00:56.347454+10:00,Biogeography,biogeography,True,114,534.0,100446.0,,"Patterning and inventory of biodiversity; CAR reserve system; biological surveys, surveillance monitoring","The Biogeography Program undertakes biological surveys to provide information on the biodiversity and nature conservation priorities within Western Australia. Surveys provide data on the distribution of plants and animals, and enable an understanding of regional patterns in their composition and distribution. Targeted surveys of specific regions, broad habitat types or selected plant and animal groups are also undertaken. Knowledge obtained from surveys complements the site-specific studies commissioned by other land managers, such as resource companies, and is used to provide the foundation for biodiversity planning and natural resource management across Western Australia. Collaborative associations are strong with the Western Australian Museum, Australian Museum, and other herbaria and museums throughout Australia, and with universities, cooperative research centres, CSIRO and other research institutions. Partnerships also exist with traditional owners, resource companies and the environmental consulting industry.",programs/biogeography/biogeography.jpg,1
23,1,1,2022-08-11 14:02:59.285033+10:00,2022-08-11 14:02:59.309159+10:00,Environmental Management Branch,EMB,True,100886,,,,,,,4
37,1,1,2022-08-11 14:47:16.108098+10:00,2022-08-11 14:47:16.129788+10:00,Executive and Corporate Services,ECS,True,100886,,,,,,,3
51,1,1,2022-08-11 14:55:30.977975+10:00,2022-08-11 14:55:31.001497+10:00,"Aboriginal Engagement, Planning and Lands Branch",AEPLB,True,100886,,,,,,,5
5,1,1,2014-06-05 20:28:10.375000+10:00,2022-05-20 14:00:56.580584+10:00,Animal Science,fauna,True,93,535.0,100446.0,93.0,"Species approach; animal ecology; biology; genetics; threatening processes, Threatened fauna","Applied research undertaken by the Animal Science Program seeks to understand the factors and processes critical for conserving Western Australia's rich and unique native fauna. The major objectives of the program are to ensure the persistence of threatened species through local and landscape-scale management actions, including reducing key threats such as predation by foxes and feral cats, inappropriate fire regimes, competition and predation by introduced rodents on islands, as well as assessing cane toad impacts and reconstructing the fauna of rangeland and arid areas.",programs/fauna/AnimalScience.jpg,1
4,1,100934,2014-06-05 20:28:10.359000+10:00,2023-09-28 11:39:13.559680+10:00,Directorate,division-directorate,False,100934,537.0,19.0,10.0,,,,1
1,1,1,2014-06-05 20:28:10.311000+10:00,2022-05-20 14:00:59.162341+10:00,Administration,division-admin,False,19,529.0,19.0,19.0,,,,1
8,1,1,2014-06-05 20:28:10.431000+10:00,2022-05-20 14:00:59.320318+10:00,Library,division-library,False,8,529.0,19.0,94.0,,,,1
12,1,1,2014-06-05 20:28:10.531000+10:00,2022-05-20 14:00:59.499402+10:00,Science Support,division-support,False,8,529.0,19.0,8.0,Work centre finance and budgets; administration; infrastructure; library; biometrics; directorate support,,,1
18,4,100934,2018-05-23 09:51:40.492562+10:00,2023-09-29 11:47:01.027931+10:00,Perth Zoo Science,zoo,True,101019,526.0,100446.0,101019.0,Breed-for-release; animal biology; wildlife ecology; sustainable environment; communication;,"Perth Zoo Science Program undertakes targeted research to support the breed-for-release of seven threatened species. It also addresses knowledge gaps in our understanding of behaviour, reproductive biology and conservation medicine for the species in the Zoo’s collection and smaller number of species in the wild. The research program involves projects dealing with environmental communication and socio-ecology.",programs/zoo/WSThatchling2.jpg,1
