id,creator_id,modifier_id,created,modified,name,slug,director_id
1,100000,1,2014-06-05 20:28:10.297000+10:00,2018-07-23 15:14:48.760000+10:00,"Conserving Habitats, Species and Communities",6,6
2,100000,1,2014-06-05 20:28:10.297000+10:00,2018-07-23 15:14:48.760000+10:00,Data migration placeholder,x,6
3,100000,1,2014-06-05 20:28:10.307000+10:00,2018-07-05 16:16:35.694000+10:00,Visitor Services and Public Programs Provided at Kings Park and Bold Park,1,6
4,1,1,2015-06-11 17:16:09.235000+10:00,2018-07-23 15:14:41.506000+10:00,Research and Conservation Partnerships,7,6
5,1,1,2015-06-11 17:17:29.316000+10:00,2018-07-23 15:14:25.630000+10:00,Implementation of the Forest Management Plan,8,6
6,1,1,2015-06-11 17:18:23.113000+10:00,2018-07-23 15:14:12.358000+10:00,Prescribed Burning and Fire Management,9,6
7,1,1,2015-06-11 17:18:46.984000+10:00,2018-07-23 15:14:05.859000+10:00,Bushfire Suppression,10,6
8,1,1,2015-06-11 17:19:12.411000+10:00,2018-07-23 15:15:04.360000+10:00,Visitor Services and Public Programs Provided in the Swan and Canning Riverpark,4,6
9,1,1,2018-07-05 16:10:41.015000+10:00,2018-07-23 15:15:11.241000+10:00,Visitor Services and Public Programs Provided at Perth Zoo,3,6
10,1,1,2018-07-05 16:14:17.118000+10:00,2018-07-23 15:14:55.545000+10:00,Visitor Services and Public Programs Provided in National Parks and Other Lands and Waters,5,6
