id,creator_id,modifier_id,created,modified,name,slug,physical_address_id,postal_address_id,district_id
2,1,1,2014-01-21 17:04:08.281000+11:00,2014-01-21 17:04:08.294000+11:00,Kensington (including Herbarium),kensington-herbarium,3,4,8
4,1,1,2014-06-06 12:31:16.154000+10:00,2014-06-06 12:31:16.189000+10:00,Woodvale,woodvale,6,6,1
5,1,1,2014-06-06 12:35:21.942000+10:00,2014-06-06 12:37:20.261000+10:00,Dwellingup,dwellingup,7,7,12
9,1,1,2014-06-06 12:49:54.367000+10:00,2014-06-06 12:49:54.406000+10:00,Bickley,bickley,14,14,12
11,4,4,2018-05-23 10:12:36.823664+10:00,2018-05-23 10:12:36.836526+10:00,Perth Zoo,perthzoo,16,16,11
12,4,4,2018-05-23 10:15:23.687565+10:00,2018-05-23 10:15:23.700976+10:00,Kings Park,kingspark,17,17,11
3,1,1,2014-01-22 18:44:51.539000+11:00,2018-09-21 14:34:18.413858+10:00,Bentley,bentley,5,4,15
7,1,1,2014-06-06 12:45:08.178000+10:00,2018-09-21 14:35:54.002696+10:00,Busselton,busselton,11,11,17
6,1,1,2014-06-06 12:39:40.439000+10:00,2018-09-21 14:35:57.067888+10:00,Manjimup,manjimup,8,10,18
10,1,1,2014-06-06 13:07:51.632000+10:00,2018-09-21 14:36:03.470801+10:00,Albany,albany,15,15,16
13,1,1,2018-09-21 15:14:30.095760+10:00,2018-09-21 15:14:30.118582+10:00,Bunbury,bunbury,18,19,15
8,1,1,2014-06-06 12:48:34.463000+10:00,2018-09-21 15:14:53.057579+10:00,Karratha,karratha,12,13,2
14,1,1,2018-09-21 15:16:18.394883+10:00,2018-09-21 15:16:18.414266+10:00,Kununurra,kununurra,20,20,3
