id,date_created,user_id,comment,manager_slug
1,2014-06-05 20:38:09.710000+10:00,1,Initial version.,default
5,2014-06-05 20:39:36.221000+10:00,1,Changed introduction.,default
8,2014-06-05 20:40:29.021000+10:00,1,Changed introduction.,default
11,2014-06-05 20:40:58.217000+10:00,1,Changed introduction.,default
14,2014-06-05 20:43:13.898000+10:00,1,Changed introduction.,default
17,2014-06-05 20:43:50.340000+10:00,1,Changed introduction.,default
20,2014-06-05 20:44:21.584000+10:00,1,Changed introduction.,default
23,2014-06-05 20:44:44.205000+10:00,1,Changed introduction.,default
26,2014-06-05 20:45:07.350000+10:00,1,Changed introduction.,default
39,2014-06-06 11:35:43.862000+10:00,1,Changed dm.,default
40,2014-06-06 12:24:30.225000+10:00,1,Initial version.,default
41,2014-06-06 12:29:43.928000+10:00,1,Initial version.,default
42,2014-06-06 12:31:16.199000+10:00,1,Initial version.,default
43,2014-06-06 12:33:36.638000+10:00,1,Initial version.,default
44,2014-06-06 12:35:21.991000+10:00,1,Initial version.,default
46,2014-06-06 12:38:35.344000+10:00,1,Initial version.,default
47,2014-06-06 12:39:00.943000+10:00,1,Initial version.,default
48,2014-06-06 12:39:40.489000+10:00,1,Initial version.,default
50,2014-06-06 12:42:28.225000+10:00,1,Initial version.,default
51,2014-06-06 12:42:41.655000+10:00,1,Changed postal_address.,default
52,2014-06-06 12:44:21.504000+10:00,1,Initial version.,default
53,2014-06-06 12:45:08.226000+10:00,1,Initial version.,default
54,2014-06-06 12:45:32.725000+10:00,1,Changed name and slug.,default
55,2014-06-06 12:46:56.985000+10:00,1,Initial version.,default
56,2014-06-06 12:47:18.265000+10:00,1,Initial version.,default
57,2014-06-06 12:48:34.509000+10:00,1,Initial version.,default
58,2014-06-06 12:49:33.131000+10:00,1,Initial version.,default
59,2014-06-06 12:49:54.413000+10:00,1,Initial version.,default
60,2014-06-06 13:06:50.515000+10:00,1,Initial version.,default
61,2014-06-06 13:07:51.681000+10:00,1,Initial version.,default
62,2014-06-06 15:16:11.053000+10:00,5,Initial version.,default
64,2014-06-06 15:20:10.840000+10:00,5,Initial version.,default
66,2014-06-06 15:27:24.695000+10:00,5,Initial version.,default
71,2014-06-06 15:30:02.268000+10:00,5,"Changed title, tagline and comments.",default
142,2014-06-06 15:43:51.123000+10:00,5,"Changed background, aims, outcome and knowledge_transfer.",default
149,2014-06-06 15:46:38.143000+10:00,1,Changed knowledge_transfer.,default
165,2014-06-06 15:48:10.401000+10:00,1,Changed knowledge_transfer.,default
166,2014-06-06 15:48:16.980000+10:00,5,Changed knowledge_transfer and project_tasks.,default
167,2014-06-06 15:48:22.839000+10:00,1,Changed knowledge_transfer and project_tasks.,default
239,2014-06-06 15:56:03.076000+10:00,5,Changed operating_budget.,default
250,2014-06-06 16:04:54.531000+10:00,5,Changed scientific_outputs.,default
251,2014-06-09 11:52:17.985000+10:00,1,Changed published.,default
252,2014-06-09 11:52:37.345000+10:00,1,Changed published.,default
253,2014-06-09 11:52:40.700000+10:00,1,Changed published.,default
254,2014-06-09 11:52:43.564000+10:00,1,Changed published.,default
255,2014-06-09 12:30:47.778000+10:00,5,Initial version.,default
287,2014-06-09 12:38:13.959000+10:00,5,Initial version.,default
288,2014-06-09 13:21:35.075000+10:00,1,"Changed title, tagline, comments, program, output_program, areas, project_owner, data_custodian and site_custodian.",default
289,2014-06-09 15:03:35.854000+10:00,5,Initial version.,default
297,2014-06-09 15:06:05.222000+10:00,5,Changed outcome.,default
298,2014-06-09 15:30:34.289000+10:00,5,"Changed title, comments and program.",default
299,2014-06-09 15:31:00.613000+10:00,5,Changed title and program.,default
300,2014-06-09 15:31:36.696000+10:00,5,"Changed title, comments and program.",default
301,2014-06-09 15:32:10.747000+10:00,5,Changed title and program.,default
302,2014-06-09 15:32:42.501000+10:00,5,"Changed title, comments and program.",default
303,2014-06-09 15:35:16.822000+10:00,5,"Changed title, comments, program and areas.",default
304,2014-06-09 15:35:54.578000+10:00,5,Changed name and northern_extent.,default
305,2014-06-09 15:36:18.026000+10:00,5,Initial version.,default
306,2014-06-09 15:36:35.377000+10:00,5,Changed name and northern_extent.,default
307,2014-06-09 15:42:47.637000+10:00,5,"Changed title, areas, data_custodian and site_custodian.",default
308,2014-06-09 15:43:32.314000+10:00,5,"Changed title, comments and areas.",default
310,2014-06-09 15:49:37.275000+10:00,5,"Changed title, data_custodian and site_custodian.",default
311,2014-06-09 15:53:01.703000+10:00,5,"Changed title, areas, data_custodian and site_custodian.",default
