id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add content type,2,add_contenttype
6,Can change content type,2,change_contenttype
7,Can delete content type,2,delete_contenttype
8,Can view content type,2,view_contenttype
9,Can add permission,4,add_permission
10,Can change permission,4,change_permission
11,Can delete permission,4,delete_permission
12,Can add group,3,add_group
13,Can change group,3,change_group
14,Can delete group,3,delete_group
15,Can view group,3,view_group
16,Can view permission,4,view_permission
17,Can add session,5,add_session
18,Can change session,5,change_session
19,Can delete session,5,delete_session
20,Can view session,5,view_session
21,Can add site,6,add_site
22,Can change site,6,change_site
23,Can delete site,6,delete_site
24,Can view site,6,view_site
25,Can add area,10,add_area
26,Can change area,10,change_area
27,Can delete area,10,delete_area
28,Can add region,11,add_region
29,Can change region,11,change_region
30,Can delete region,11,delete_region
31,Can add district,9,add_district
32,Can change district,9,change_district
33,Can delete district,9,delete_district
34,Can add address,17,add_address
35,Can change address,17,change_address
36,Can delete address,17,delete_address
37,Can add division,8,add_division
38,Can change division,8,change_division
39,Can delete division,8,delete_division
40,Can add program,15,add_program
41,Can change program,15,change_program
42,Can delete program,15,delete_program
43,Can add work centre,13,add_workcenter
44,Can change work centre,13,change_workcenter
45,Can delete work centre,13,delete_workcenter
46,Can add web resource domain,12,add_webresourcedomain
47,Can change web resource domain,12,change_webresourcedomain
48,Can delete web resource domain,12,delete_webresourcedomain
49,Can add URL prefix,16,add_urlprefix
50,Can change URL prefix,16,change_urlprefix
51,Can delete URL prefix,16,delete_urlprefix
52,Can add web resource,14,add_webresource
53,Can change web resource,14,change_webresource
54,Can delete web resource,14,delete_webresource
55,Can add user,18,add_user
56,Can change user,18,change_user
57,Can delete user,18,delete_user
58,Can add arar report,7,add_ararreport
59,Can change arar report,7,change_ararreport
60,Can delete arar report,7,delete_ararreport
61,Can view address,17,view_address
62,Can view arar report,7,view_ararreport
63,Can view area,10,view_area
64,Can view district,9,view_district
65,Can view division,8,view_division
66,Can view program,15,view_program
67,Can view region,11,view_region
68,Can view URL prefix,16,view_urlprefix
69,Can view user,18,view_user
70,Can view web resource,14,view_webresource
71,Can view web resource domain,12,view_webresourcedomain
72,Can view work centre,13,view_workcenter
73,Can add document,23,add_document
74,Can change document,23,change_document
75,Can delete document,23,delete_document
76,Can add concept plan,24,add_conceptplan
77,Can change concept plan,24,change_conceptplan
78,Can delete concept plan,24,delete_conceptplan
79,Can add project plan,22,add_projectplan
80,Can change project plan,22,change_projectplan
81,Can delete project plan,22,delete_projectplan
82,Can add Progress Report,19,add_progressreport
83,Can change Progress Report,19,change_progressreport
84,Can delete Progress Report,19,delete_progressreport
85,Can add project closure,21,add_projectclosure
86,Can change project closure,21,change_projectclosure
87,Can delete project closure,21,delete_projectclosure
88,Can add student report,20,add_studentreport
89,Can change student report,20,change_studentreport
90,Can delete student report,20,delete_studentreport
91,Can view concept plan,24,view_conceptplan
92,Can view document,23,view_document
93,Can view Progress Report,19,view_progressreport
94,Can view project closure,21,view_projectclosure
95,Can view project plan,22,view_projectplan
