id,user_id,comment_id,flag,flag_date
1,12,1,moderator deletion,2014-06-10 18:41:22.034000+10:00
2,48,3,moderator deletion,2014-08-12 13:05:39.879000+10:00
3,8,39,moderator deletion,2015-06-18 16:55:10.890064+10:00
4,93,63,moderator deletion,2015-07-14 17:16:02.883120+10:00
5,117,85,moderator deletion,2016-06-01 14:35:39.587394+10:00
6,24,98,moderator deletion,2016-06-14 16:40:12.256323+10:00
7,24,97,moderator deletion,2016-06-15 10:35:35.439554+10:00
8,22,103,moderator deletion,2016-06-15 13:10:30.076283+10:00
9,10,121,moderator deletion,2016-07-11 13:28:14.896326+10:00
10,100,126,moderator deletion,2016-07-26 15:23:38.387602+10:00
11,1,140,moderator deletion,2017-06-01 15:56:26.240532+10:00
12,93,142,moderator deletion,2017-06-14 15:28:02.975391+10:00
13,10,162,moderator deletion,2017-07-12 16:47:12.532628+10:00
14,114,179,moderator deletion,2018-07-09 13:47:03.247728+10:00
15,8,185,moderator deletion,2018-07-23 16:30:37.700620+10:00
16,12,196,moderator deletion,2018-07-25 17:28:20.137079+10:00
17,47,215,moderator deletion,2019-07-02 19:43:48.560893+10:00
18,22,221,moderator deletion,2019-07-07 19:59:26.798037+10:00
19,10,228,moderator deletion,2019-07-16 13:03:08.172078+10:00
20,100532,184,moderator deletion,2020-06-30 13:18:44.850567+10:00
21,8,265,moderator deletion,2020-07-14 12:42:14.733069+10:00
22,100457,267,moderator deletion,2020-07-20 12:36:54.292714+10:00
23,93,297,moderator deletion,2021-07-10 20:17:20.537870+10:00
24,100457,314,moderator deletion,2022-05-10 11:24:17.758631+10:00
25,22,346,moderator deletion,2022-07-25 16:45:19.203616+10:00
26,100457,365,moderator deletion,2023-06-06 22:15:03.967633+10:00
27,100911,384,moderator deletion,2023-06-29 12:36:24.735564+10:00
28,100911,383,moderator deletion,2023-06-29 12:36:55.352961+10:00
29,100457,308,moderator deletion,2023-08-11 16:15:59.314052+10:00
