document_ptr_id,scientific_outputs,knowledge_transfer,data_location,hardcopy_location,backup_location,goal,reason
1253,"**Project publications**

Cale, DJ (2005). Drummond Natural Diversity Recovery Catchment Aquatic Invertebrate Survey. Report of WA Department of Environment & Conservation. 10pp.

Cale, DJ (2008). Wetland survey of the Lake Bryde natural diversity recovery catchment : waterbirds, aquatic invertebrates and water chemistry. Report of WA Department of Environment & Conservation. 40pp.

Cale, DJ (2011). Wetland Biodiversity Monitoring Program. Coyrecup Lake fauna and water chemistry datasets. Excel spreadsheet based report and companion document.

Cale, DJ (2013). A comparison of waterbird and invertebrate communities present following summer rainfall events in 2006 and 2012, in wetlands of the Lake Bryde Natural Diversity Recovery Catchment. 40 pp.

Cale, DJ (2013). Wetland Biodiversity Monitoring Program. Towerinning Lake fauna and water chemistry datasets. Excel spreadsheet based report and companion document.

Cale, DJ, Halse, SA & Walker, CD (2004). Wetland monitoring in the wheatbelt of south-west Western Australia: site descriptions, waterbird, aquatic invertebrate and groundwater data. Conservation Science Western Australia 5(1):20-136.

Cale, D, Lyons, M, McCormick, C, Pinder, A & Walker, C. (2010). State Salinity Strategy wetland biodiversity monitoring report: Lake Eganu 1998 to 2007. WA Department of Environment & Conservation. 40pp.

Cale DJ, McCormick C, Lyons MN, Pinder AM (2011). State Salinity Strategy wetland biodiversity monitoring report: Lake Wheatfield 1997-2009. Department of Environment and Conservation, Woodvale, WA. 62 p.

Clarke, AG, Lane, JAK & Jaensch, RP (2011). Surveys of waterbirds in selected wetlands of south-western Australia in spring-summer 2009-10, with further assessment of changes in habitat and waterbird usage over 2-3 decades. WA Department of Environment and Conservation. 101pp.

Gibson, N., Keighery, G.J. & Lane, J.A.K. (2004). Five years of monitoring of the Lake Muir-Unicup wetland system, south-western Australia. J. Roy. Soc. W.A. 87:29-33.

Lane, JAK, Winchcombe, YC & Clarke, AG (in prep.). Thirty Year trends in depths and rainfalls of south-western Australian wetlands. WA Department of Parks and Wildlife report.

Lane, JAK., Clarke, AG & Winchcombe, YC (2013). South West Wetlands Monitoring Program Report 1977-2012. WA Department of Parks and Wildlife. 168pp. - and preceding annual reports.

Lyons, MN, Halse, SA, Gibson, N, Cale, DJ, Lane, JAK, Walker, CD, Mickle, DA & Froend, RH (2007). Monitoring wetlands in a salinizing landscape: case studies from the Wheatbelt region of Western Australia. Hydrobiologia 591:147-164.

Pinder, AM, Cale, DJ and Leung, A (2011). Aquatic Invertebrate Diversity in Drummond Natural Diversity Recovery Catchment Wetlands, 2004-2010. Report of WA Department of Environment & Conservation. 12pp.

**Other key publications making substantial use of the project data**

Drake, PL, McCormick, CA, & Smith, MJ. (2014). Controls of soil respiration in a salinity-affected ephemeral wetland. Geoderma (used the vegtation transect data).

Jones, SM, Pinder, AM, Sim, LL & Halse, SA (2009) Evaluating the conservation significance of inundated basin wetlands within the Avon Natural Resource Management region: Stage Three Assessment Method. Prepared for the Avon Catchment Council by the Department of Environment and Conservation, Perth.

Pinder, A, Halse, SA., McRae, JM. & Shiel, RJ (2005) Occurrence of aquatic invertebrates of the wheatbelt region of Western Australia in relation to salinity. Hydrobiologia 543, 1-24.

Pinder, AM, Quinlan, K, Cale, D & Shiel, R. (2013). Invertebrate communities and hydrological persistence in seasonal claypans of Drummond Nature Reserve, Western Australia. Report of WA Department of Parks and Wildlife. 29pp.

Sim, L, Nowicki, A, Pinder, A, Prideaux, C, Cale, D & Coote, M (2008) Trialling a framework and indicators for wetland extent, distribution and condition in Western Australia. Department of Environment and Conservation, Perth.

Smith, MD, Goater, SE, Reichwaldt, ES, Knott, B & Ghadouani, A (2010). Effects of recent increases in salinity and nutrient concentrations on the microbialite community of Lake Clifton (Western Australia): are the thrombolites at risk? Hydrobiologia DOI 10.1007/s10750-010-0246-3.

And numerous other reports and scientific papers by DPaW scientists and others, e,g, Bari & Ruprecht (2003), Cake (1988), Davies (2010), Froend & Loomes (2001), George & Bennett (1992, 1994), Gibson et al. (2004), Halse et al. (2002), Jaensch et al. (1988, 2009), Knott et al. (2003), Peck (2000), URS (2002). See Appendix 1 of Lane et al. (2013) for a complete list.
",,,,,completed,
1262,,,,,,completed,
1264,,,,,,completed,
1288,,,,,,force_completed,
1272,,,,,,completed,
1296,,,,,,completed,
1480,"<p><a name=""OLE_LINK4""></a> Journal papers<a name=""OLE_LINK2""></a></p>
<p><a name=""OLE_LINK2""></a>Gosper, C.R., Prober, S.M. and Yates, C.J. (2010) Repeated disturbance through chaining and burning differentially affects recruitment among plant functional types in fire-prone heathlands. International Journal of Wildland Fire 19, 52-62.</p>
<p>Gosper, C.R., Prober, S.M. and Yates, C.J. (2010) Chaining and burning modifies vegetation structure, fuel, and post-disturbance sprouting capacity. Rangeland Ecology and Management 63, 588-592.</p>
<p><a name=""OLE_LINK3""></a> Parsons, B.C. and Gosper, C.R. (2011) Contemporary fire regimes in a fragmented and an unfragmented landscape: implications for vegetation structure and persistence of the fire-sensitive malleefowl. International Journal of Wildland Fire 20, 184-194.</p>
<p><a name=""OLE_LINK5""></a><a name=""OLE_LINK6""></a> Gosper, C.R., Yates, C.J., Prober, S.M. and Williams, M.R. (2011) Fire does not facilitate invasion by alien annual grasses in an infertile Australian agricultural landscape. Biological Invasions 13, 533-544.</p>
<p>Gosper, C.R., Yates, C.J., Prober, S.M. and Parsons, B.C. (2012) Contrasting changes in vegetation structure and diversity with time since fire in two Australian Mediterranean-climate plant communities. Austral Ecology 37, 164-174.</p>
<p>Gosper, C.R. (2012) Birds of two Important Bird Areas of Western Australia &mdash; Lake Magenta and Dunn Rock &amp; Lake King. Australian Field Ornithology 29, 1-14.</p>
<p>Gosper, C.R., Yates, C.J. and Prober, S.M. (2012) Changes in plant species and functional composition with time since fire in two Mediterranean-climate plant communities. Journal of Vegetation Science 23, 1071-1081.</p>
<p>Gosper, C.R., Prober, S.M. and Yates, C.J. (2013) Estimating fire interval bounds using vital attributes: implications of uncertainty and among-population variability. Ecological Applications 23, 924-935.</p>
<p>Clarke, P.J., Lawes, M.J., Murphy, B.P., Russell-Smith, J., Nano, C.E.M., Bradstock, R., Enright, N.J., Fontaine, J.B., Gosper, C.R., Radford, I., Midgley, J.J. and Gunton R.M. (in press) A synthesis of postfire recovery traits of woody plants in Australian ecosystems. Science of the Total Environment doi: 10.1016/j.scitotenv.2015.04.002</p>
<p>&nbsp;</p>
<p>Scientific conference presentations</p>
<p>Gosper, C.R., Prober, S.M. and Yates, C.J. (2007) Scrub rolling and burning: altering recruitment of serotinous obligate seeders? Poster and abstract in Ecological Society of Australia Program and Abstracts, 26-30 November 2007, Perth, p. 191-2.</p>
<p>Gosper, C.R. (2008) The role of fire in plant conservation in fragmented landscapes. Spoken presentation at Kwongan Colloquium, Biodiversity on the Verge. 13-14 September 2008, UWA, Perth. (CD)</p>
<p>Gosper, C., Yates, C. and Prober, S. (2009) Restoring an appropriate fire regime to fragmented remnants: a vital attributes approach. Spoken presentation at the 19th Conference of the Society for Ecological Restoration International, 23-27 August 2009, Perth.</p>
<p>Gosper, C., Yates, C. and Prober, S (2009) Restoring an appropriate fire regime to fragmented remnants: a vital attributes approach. Spoken presentation at the 4th International Fire Ecology and Management Congress, 30 November &ndash; 4 December 2009, Savannah, USA</p>
<p>Gosper, C.R., Prober, S.M., Yates, C.J. and Parsons, B.C. (2009) Changes in vegetation structure and composition after fire in two Australian mediterranean-climate plant communities. Poster presentation at the 4th International Fire Ecology and Management Congress, 30 November &ndash; 4 December 2009, Savannah, USA.</p>
<p>Gosper, C.R., Prober, S.M. and Yates, C.J. (2011) Responses to fire of Mediterranean-climate shrublands in south-western Australia. Spoken presentation at MEDECOS XII, Linking Science to Resource Management, September 6-9, 2011, UCLA, Los Angeles, United States, p. 74.</p>","<p><em>Information sheets</em></p>
<p>Gosper, C. (2007) Fire, fragmentation and conservation in the Western Australian wheatbelt. CSIRO Sustainable Ecosystems Information Sheet.</p>
<p>Gosper, C., Yates, C. and Prober, S. (2009) Fragmentation but not fire facilitates weed invasion in mallee. Science Division Information sheet 10/2009. <a href=""http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets"">http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets</a></p>
<p>Gosper, C., Yates, C. and Prober, S. (2009) Ecological effects of creating fuel-modified zones by chaining and burning. Science Division Information sheet 27/2009. <a href=""http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets"">http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets</a></p>
<p>Gosper, C., Yates, C., Prober, S. and Parsons, B. (2010) Changes in plant diversity and vegetation structure with time-since-fire in mallee and mallee-heath. Science Division Information sheet 33/2010. <a href=""http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets"">http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets</a></p>
<p>Gosper, C., Yates, C. and Prober, S. (2010) Using fruit crop and mortality to determine appropriate fire return intervals. Science Division Information sheet 39/2010. <a href=""http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets"">http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets</a></p>
<p>Gosper C, Yates C and Prober S (2013) Plant functional types as a tool for predicting vegetation change with time since fire. Science Division Information Sheet 64/2013. <a href=""http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets"">http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets</a></p>
<p>&nbsp;</p>
<p><em>Management guidelines</em></p>
<p><em>Fire Management Guideline No G5. Fuel Modification and Fire Management</em>. Unpublished, Department of Environment and Conservation, 2011 (contributinbg author).</p>
<p>&nbsp;</p>
<p><em>Management-related presentations</em></p>
<p>Gosper, C.R. (2008) Lake Magenta fire project. Spoken presentation at <em>Fire ecology and management: Fitzgerald River National Park &amp; Ravensthorpe Range</em>. 20th March 2008, Ravensthorpe</p>
<p>Gosper, C. (2009) Monitoring ecological responses to fire. Spoken presentation at Fire Ecology Workshop, Albany, 4 March 2009</p>
<p>Gosper, C.R., Yates, C.J. and Prober, S.M. (2011) Effects of the fire management method of chaining and burning on plant communities. Spoken presentation and abstract in <em>Western Australian Bushfire Research Forum 2011</em>, 12-13 October 2011, Perth, p. 32.</p>
<p>Yates, C.J., Gosper, C.R. and Prober, S.M. (2011) Fire, fragmentation, weeds and conservation of plant diversity in Wheatbelt Nature Reserves. Spoken presentation and abstract in <em>Western Australian Bushfire Research Forum 2011</em>, 12-13 October 2011, Perth, p. 20.</p>
<p>Gosper, C., Yates, C. and Prober, S (2010) Fire, fragmentation, weeds and the conservation of plant diversity in Wheatbelt Nature Reserves. Spoken presentation at Wheatbelt RHQ Conference Room, Narrogin, 1 Dec 2010.</p>
<p>Gosper C, Prober S and Yates C (2012) Fire, fragmentation, weeds and the conservation of plant diversity in the WA wheatbelt. Spoken presentation at an Adaptive Management workshop, Department of Environment and Natural Resources, Adelaide</p>
<p>&nbsp;</p>
<p><em>Advice/workshops</em></p>
<p><span style=""color: #000000;"">&lsquo;Fire and biodiversity guidelines for the Avon basin&rsquo; workshop. 14 May 2007, Narrogin.</span></p>
<p><span style=""color: #000000;"">&lsquo;Fire Ecology Workshop&rsquo;, South Coast NRM Region, Albany, Wednesday 4th March 2009.</span></p>
<p><span style=""color: #000000;"">&lsquo;Vegetation modification guideline&rsquo; workshop. 1 September 2009, Bunbury.</span></p>
<p><span style=""color: #000000;"">Ongoing collaboration with the Wheatbelt region involves practical application of vital attribute and senescence assessment methods and results in the development of fire management priorities and monitoring in remnant vegetation throughout the wheatbelt. </span></p>
<p>&nbsp;</p>
<p><em>Popular articles</em></p>
<p>Gosper, C., Yates, C. and Prober, S. (2010) To burn or not to burn: challenging decisions in fragmented landscapes. <em>Landscope</em> 26(2), 46-51.</p>
<p>Gosper, C., Prober, S. and Yates, C. (2013) The role of fire in plant conservation in wheatbelt remnants. <em>Australasian Plant Conservation </em>22(1), 21-22.</p>
<p>&nbsp;</p>
<p><em>Media</em></p>
<p>Sabto M (2010) Firing up biodiversity in the wheatbelt. <em>ECOS </em>155 (Jun-July 2010), 5.</p>
<p>Media release: &lsquo;Fire to benefit wheatbelt biodiversity hotspots&rsquo; May 2010. Articles in Narrogin Observer, Farm Weekly.</p>","<p><span style=""font-family: Arial, serif;"">CSIRO Floreat (\\fswa01-per\csiro\CES\LI-PFSSVR-FR\Share\Wheatbelt\Carl_Gosper)</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-family: Arial, serif;"">Survey site locations have been added to the Scientific Sites Register and floristic data is being prepared for addition to NatureMap.</span></p>
<p>&nbsp;</p>",<p>CSIRO Floreat</p>,,completed,
1284,,,,,,completed,
1478,<p>Adrian Pinder to fill in</p>,<p>Adrian Pinder to fill in</p>,<p>Datasets have&nbsp;been added to NatureMap.</p>,<p>Adrian Pinder to fill in</p>,,completed,
1527,"<p>McMullan-Fisher SJM, May TW, Robinson RM, Bell TL, Lebel T, Catcheside P et al. (2011). Fungi and fire in Australian ecosystems: a review of current knowledge, management implications and future directions. Australian Journal of Botany 59, pp. 70&ndash;90</p>
<p>Robinson RM, Mellican AE, Smith RH (2008). Epigeous macrofungal succession in the first five years following a wildfire in karri (Eucalyptus diversicolor) regrowth forest in Western Australia. Austral Ecology 33, pp. 807&ndash;820</p>
<p>Robinson RM, Tunsell V (2007). A list of macrofungi recorded in burnt and unburnt Eucalyptus diversicolor regrowth forest in the southwest of Western Australia, 1998-2002. Conservation Science Western Australia 6(1), pp. 75&ndash;96</p>
<p>Robinson RM, Bougher NL (2003). The response of fungi to fire in jarrah (Eucalyptus marginata) and karri (Eucalyptus diversicolor) forests of south-west Western Australia. In Fire in Ecosystems of South-West Western Australia: Impacts and Management Backhuys, Leiden. pp. 269&ndash;289</p>","<p>Robinson R (2012). Interactions between fungal communities and fire (ABSTRACT). In Tasmanian Fungi Festival presents Fungi Conservation and Management Symposium: Thursday 26th and Friday 27th April, 2012, the Old Wool Store Apartment Hotel Symposium Organising Committee, Hobart. p. 9</p>
<p>Robinson R (2009). Bushfires, fungi and biodiversity. Landscope 25(1), pp. 16&ndash;21</p>
<p>Robinson R (2009). Fire mosaics can enhance macrofungal biodiversity. Available at: http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets. 1/2009, 2 p.</p>
<p>Robinson R (2009). Fungi respond to bushfires. Western Wildlife: Newsletter of the Land for Wildlife Scheme 13(2), pp. 1&ndash;3</p>
<p>Robinson RM (2007). Assessing the risk of fire assists fungal survey in the southwest of Western Australia. In Proceedings: 16th Biennial Australasian Plant Pathology Society Conference: Back to Basics, Managing Plant Disease, incorporating the 9th Annual Australasian Mycological Society Meeting, Adelaide, 2007, Adelaide Convention Centre, South Australia, 24-27 September 2007 Conference Organising Committee, Adelaide. p. 86</p>
<p>Robinson RM, Mellican A, Smith RH (2006). Fire and fungi: survival, succession and composition of macro fungal community following fire in eucalypt forest in Western Australia (ABSTRACT). In Conference Handbook and Abstracts: 8th International Mycological Congress, 21-25 August 2006, Cairns, Australia. Book 2 p. 409</p>
<p>Robinson RM, Smith RH (2006). The response of macrofungi to fire. Poster presented at the Science Division Biennial Meeting, 25-26 August, Muresk 2006.</p>
<p>Robinson R (2001). Fruits of fire. Landscope 16(4), pp. 48&ndash;53</p>
<p>Robinson RM (2001). The effect of wildfire on the fruiting of macrofungi. III, results from the third year of monitoring: SPP 98/0015 progress report. Department of Conservation and Land Management, 30 p.</p>
<p>Robinson RM (2000). The effect of wildfire on the fruiting of macrofungi. II, results from the second year of monitoring: SPP 98/0015 progress report. Department of Conservation and Land Management, 26 p.</p>
<p>Robinson RM (1999). The effect of wildfire on the fruiting of macrofungi in regrowth karri forests: SPP 98/0015 progress report: results from the first year of monitoring. Department of Conservation and Land Management, 26 p.</p>
<p>&nbsp;</p>
<p><strong>&nbsp;</strong></p>",<p>Manjimup server 532/Shared T:/Fungi Rich 18-6-2015/Fire Fungi</p>,<p>Manjimup Research Centre</p>,,completed,
