document_ptr_id,related_projects,background,aims,outcome,knowledge_transfer,project_tasks,references,methodology,bm_endorsement,involves_plants,no_specimens,hc_endorsement,involves_animals,ae_endorsement,data_management,data_manager_endorsement,operating_budget,operating_budget_external
587,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
588,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
590,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
592,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
593,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
595,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
597,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
599,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
600,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
602,,,,,,,,,required,False,,not required,False,not required,,,"[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""FTE Scientist"", """", """", """"], [""FTE Technical"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]","[[""Source"", ""Year 1"", ""Year 2"", ""Year 3""], [""Salaries, Wages, OVertime"", """", """", """"], [""Overheads"", """", """", """"], [""Equipment"", """", """", """"], [""Vehicle"", """", """", """"], [""Travel"", """", """", """"], [""Other"", """", """", """"], [""Total"", """", """", """"]]"
