project_ptr_id,name,budget,staff_list_plain,aims,description
948,"<p>Duke University, Swedish University of Agricultural Sciences, University of Helsinki</p>","<p>$30,000</p>","A Pinder, A Barrett, K Quinlan, G Barrett, R Glowicki, M Brotherson","<div class=""tinymce-wrap"">
<p>To survey and contrast the biodiversity values of a large semi-rural nature reserve and a large urban bushland with similar dominant overstorey vegetation (Banksia woodland). This will contribute to an understanding how much biodiversity has been retained in the urban setting as a result of historical and current management, acknowledging that the 'natural' area is not undisturbed.</p>
<p>To improve understanding of the broader biodiversity values of a Threatened Ecological Community (<em>Banksia</em> woodlands of the Swan Coastal Plain).</p>
<p>To contribute to a project that aims to characterise global patterns in biodiversity distribution, contrast urban and natural areas and to upscale emerging technologies for biodiversity survey.</p>
<p>To gain an insight into the application and effectiveness of efficient biodiversity survey methods</p>
</div>","<div class=""tinymce-wrap"">
<p>Terrestrial biodiversity conservation is informed by data on species and communities at a range of scales. Traditional methods of biodiversity survey can be time consuming, limiting the sampling effort and geographic scale of surveys and monitoring projects. Newer technologies and analytical methods are likely to be part of the solution to providing biodiversity data at more comprehensive spatial and temporal scales. Some of these are already being used, e.g. cameras, but generate a large amount of data that, at present, has to be manually interpreted. This project, funded by the European Research Council, aims to develop the use of these newer technologies and employ them at a large scale by developing the 'big data' automated analytical technology.</p>
<p>Lifeplan will use audio recorders, camera traps, spore and pollen sampling, soil fungal sampling and insect trapping to measure multiple biotic elements at 200 sites, including 100 global sites spread across all continents and then more intensive sampling (including a nested sampling project) in Scandinavia and Madagascar. Machine learning/artificial intelligence will be used with the audio recordings and camera trap images (using locally provided training datasets), while the insect, spore/pollen and soil samples will be analysed using genetic methods.</p>
<p>Another aspect of this project is that each of the 100 global sites will consist of a pair of sites, one 'natural' and one 'urban' to investigate the responses of biodiversity to urbanisation. The Perth site is one of two in Australia and will be conducted at Lowlands Nature Reserve (the natural site) and at Kings Park (the urban site).</p>
</div>"
594,<p>Australian Biological Resources Study</p>,"<p>$15,000</p>","M Byrne, D Coates",,
1000,"<p>Edith Cowan University, Australian Museum Research Institute</p>",<p>Nil</p>,"I Leal, S Wilson",,
859,<p>Australian Research Council</p>,"<p>$453,000</p>","B Miller, K Ruthrof","<p>1) Identify how fire season has shifted and how a shift in the timing of fire interacts with fire frequency and habitat fragmentation</p>
<p>2) Explore landscape-scale effects of fire season on plant community diversity and species abundances</p>
<p>3) Experimentally assess fire season effects on soil properties, and plant survival and regeneration processes, and how these may interact with responses to other components of the fire regime for different functional groups</p>
<p>4) Determine which and how many threatened plant species are affected by seasonal shifts in the fire regime, in combination with other components of the fire regime,</p>
<p>5) develop an explicit framework for defining inappropriate fire regime thresholds beyond frequency alone, across different rainfall climates of temperate Australia.</p>","<p>This project aims to investigate how the season of fire, arguably one of the biggest changes brought about by fire management, can impact ecosystems and the persistence of threatened species. The project expects to generate new yet fundamental knowledge of how the timing of fire has shifted, using a multidisciplinary team with expertise in remote sensing and fire ecology, and experimentally assess fire season effects on soil properties and plant persistence. The project aims to enhance capacity of conservation agencies across Australia to effectively implement fires while maintaining biodiversity values. This should provide significant benefits for informed management of the large numbers of threatened species under their protection.</p>"
988,,,,,
985,,,"H Raudino, K Waples",,
974,"<p>Department of Fire and Emergency Services, Bushfire Front</p>",<p>Nil</p>,"V Densmore, A Wills, S Samson, J Hollis",,
747,<p>University of Queensland</p>,<p>Nil</p>,P Mawson,<p>To develop a male Dibbler and Numbat fertility index through the evaluation of spermatorrhoea characteristics (sperm numbers and morphology) to determine if there is a male factor effecting breeding success in captivity.</p>,"<p>This project is designed to increase our understanding of the male reproductive physiology of Dibblers and Numbats. This will in turn facilitate the development of techniques to evaluate&nbsp;individual variation in male fertility and better define puberty and senescence. The development of an index of male fertility will allow staff at Perth Zoo to determine if there is a male factor influencing reproductive success in the captive breeding programs. Previously the presence of sperm in voided urine was assumed to confirm fertility in the male prior to the introduction of the female for breeding purposes. If sperm production is too low or if a male has a high proportion of sperm abnormalities, his fertility may be compromised. Improving the evaluation methods of sperm production in these species may improve captive breeding success by prioritizing males with a minimal standard of sperm numbers and quality and facilitate the evaluation of young and old males for their potential to contribute to the captive breeding program. Improvements in captive breeding success, will enhance the zoo's contribution to the recovery programs and the species conservation.</p>
<p>Breeding success of Numbats at Perth Zoo has been variable over time and sub-optimal overall. Over the last five years, an average of 56% of females paired were confirmed with pouch young during the first pouch check shortly after birth. Currently we are unsure which factors are responsible for reduced captive breeding success in this species.</p>
<p>In the captive breeding program for Dibblers, an average of 85% of females paired produce pouch young, an excellent overall result. Despite this, our understanding of male Dibbler reproductive biology is still quite basic and senescence and individual variability has yet to be quantified.</p>"
583,"<p>University of Swansea, Wales</p>",<p>Nil</p>,L Mccaw,,
537,<p>CSR Gyprock</p>,"<p>$138,000</p>","A Pinder, M Lyons, K Quinlan, R Coppen",<p>This offset funded project aims to survey flora of wetlands along the Jurien Coast to provide 1) context for assessing potential impacts of gypsum mining in salt lakes and 2) groundwater resource development.</p>,"<p>This project is stage 2 of a survey program undertaken with offset funding from CSR Gyprock. Stage 1 was a survey of aquatic invertebrates undertaken between 2011 and 2013. This was published as:</p>
<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;"">
<div class=""csl-entry"">Pinder A.M. &amp; Quinlan K. (2015) Aquatic invertebrate communities of wetlands along the Jurien coast of Western Australia. <em>journal of the Royal Society of Western Australia</em> <strong>98</strong>, 69&ndash;88.</div>
<div class=""csl-entry"">&nbsp;</div>
<div class=""csl-entry"">This stage 2 project involves 1) A survey of wetland fringing flora of the same wetlands as stage 2 plus some additional sites, undertaken in 2015-2016 and 2) surveys of <em>Parartemia</em> brine shrimp (especially <em>Parartemia extracta</em>) in the northern Wheatbelt.</div>
</div>"
