id,project_id,area_id
2885,165,32
2886,165,33
2887,165,34
2888,165,35
2889,165,36
2890,165,38
2891,165,1
2892,165,42
2893,165,7
2894,165,44
2895,165,45
2896,165,15
2897,165,23
2898,165,26
2899,165,30
2931,140,28
2932,140,29
2933,140,30
2934,140,31
2935,140,32
2936,140,33
2937,140,34
2938,140,35
2939,140,36
2940,140,46
2941,140,47
2942,140,48
2943,140,49
2944,140,50
2945,140,51
2946,140,52
2947,140,53
2948,140,54
2949,140,55
4189,95,35
80478,912,64
80479,912,72
80480,912,74
80481,912,76
81892,1016,33
2950,140,56
2951,140,57
2952,140,58
2953,140,59
2954,140,60
2955,140,61
3004,131,82
3005,131,84
3006,131,85
67921,712,2
67922,712,6
81893,1016,59
81894,1016,38
4190,95,45
4191,95,15
81895,1016,42
81896,1016,44
81897,1016,45
81898,1016,46
81899,1016,15
81900,1016,49
81901,1016,53
81902,1016,23
81903,1016,57
81904,1016,47
84292,366,43
84293,366,22
84294,366,31
25861,635,48
25862,635,1
25863,635,36
68696,752,34
68697,752,59
68698,752,42
54503,610,2
54504,610,43
54505,610,54
54506,610,8
54507,610,10
68699,752,23
54508,610,11
40401,120,82
40402,120,83
40403,120,84
40404,120,85
54509,610,12
51348,770,34
51349,770,59
51350,770,42
51351,770,23
1294,182,32
1295,182,30
1296,182,36
1297,182,35
1298,182,34
1305,173,46
1306,173,32
41307,43,34
41308,43,42
41309,43,45
2667,114,31
2684,128,58
2685,128,43
2686,128,76
2687,128,30
2707,161,82
12519,101,43
12520,101,83
12521,101,19
12522,101,29
2712,177,82
2857,190,34
41310,43,15
44017,704,32
44018,704,33
44019,704,34
44020,704,42
2900,156,32
16792,473,2
44021,704,44
44022,704,45
44023,704,46
16793,473,3
16794,473,4
16795,473,5
16796,473,6
16797,473,8
16798,473,9
3542,244,32
3543,244,46
44024,704,23
1353,236,28
2901,156,33
2902,156,34
2903,156,35
2904,156,36
44025,704,57
44026,704,59
54453,760,34
54454,760,59
45979,501,49
45980,501,26
45981,501,35
45982,501,53
54455,760,42
54456,760,23
54510,610,50
54511,610,61
3591,89,33
3592,89,34
16799,473,10
16800,473,11
2905,156,38
2906,156,1
2907,156,41
2908,156,42
1380,141,28
1381,141,36
13383,522,43
13384,522,28
13385,522,62
54512,610,16
54513,610,18
3270,148,28
3271,148,29
3272,148,30
3273,148,31
3274,148,32
3275,148,33
3276,148,34
3277,148,35
3278,148,36
3279,148,46
3280,148,47
3281,148,48
3282,148,49
3283,148,50
3284,148,51
3285,148,52
84658,1030,31
3286,148,53
3287,148,54
