id,effective_from,effective_to,creator_id,modifier_id,created,modified,name,slug,published,position,program_leader_id,cost_center,finance_admin_id,data_custodian_id,focus,introduction,image,division_id
3,2014-06-05 18:28:10.343000+08:00,,1,1,2014-06-05 18:28:10.343000+08:00,2022-05-20 12:00:56.347454+08:00,Biogeography,biogeography,True,20,114,534,100446,,"<p>Patterning and inventory of biodiversity; CAR reserve system; biological surveys, surveillance monitoring</p>","<p>The Biogeography Program undertakes biological surveys to provide information on the biodiversity and nature conservation priorities within Western Australia. Surveys provide data on the distribution of plants and animals, and enable an understanding of regional patterns in their composition and distribution. Targeted surveys of specific regions, broad habitat types or selected plant and animal groups are also undertaken. Knowledge obtained from surveys complements the site-specific studies commissioned by other land managers, such as resource companies, and is used to provide the foundation for biodiversity planning and natural resource management across Western Australia. Collaborative associations are strong with the Western Australian Museum, Australian Museum, and other herbaria and museums throughout Australia, and with universities, cooperative research centres, CSIRO and other research institutions. Partnerships also exist with traditional owners, resource companies and the environmental consulting industry.</p>",programs/biogeography/biogeography.jpg,1
23,2022-08-11 12:02:59.285006+08:00,,1,1,2022-08-11 12:02:59.285033+08:00,2022-08-11 12:02:59.309159+08:00,Environmental Management Branch,EMB,True,240,100886,,,,,,,4
37,2022-08-11 12:47:16.108064+08:00,,1,1,2022-08-11 12:47:16.108098+08:00,2022-08-11 12:47:16.129788+08:00,Executive and Corporate Services,ECS,True,700,100886,,,,,,,3
51,2022-08-11 12:55:30.977949+08:00,,1,1,2022-08-11 12:55:30.977975+08:00,2022-08-11 12:55:31.001497+08:00,"Aboriginal Engagement, Planning and Lands Branch",AEPLB,True,410,100886,,,,,,,5
5,2014-06-05 18:28:10.375000+08:00,,1,1,2014-06-05 18:28:10.375000+08:00,2022-05-20 12:00:56.580584+08:00,Animal Science,fauna,True,30,93,535,100446,93,"<p>Species approach; animal ecology; biology; genetics; threatening processes, Threatened fauna</p>","<p>Applied research undertaken by the Animal Science Program seeks to understand the factors and processes critical for conserving Western Australia's rich and unique native fauna. The major objectives of the program are to ensure the persistence of threatened species through local and landscape-scale management actions, including reducing key threats such as predation by foxes and feral cats, inappropriate fire regimes, competition and predation by introduced rodents on islands, as well as assessing cane toad impacts and reconstructing the fauna of rangeland and arid areas.</p>",programs/fauna/AnimalScience.jpg,1
4,2014-06-05 18:28:10.359000+08:00,,1,100934,2014-06-05 18:28:10.359000+08:00,2023-09-28 09:39:13.559680+08:00,Directorate,division-directorate,False,1,100934,537,19,10,,,,1
1,2014-06-05 18:28:10.311000+08:00,,1,1,2014-06-05 18:28:10.311000+08:00,2022-05-20 12:00:59.162341+08:00,Administration,division-admin,False,2,19,529,19,19,,,,1
8,2014-06-05 18:28:10.431000+08:00,,1,1,2014-06-05 18:28:10.431000+08:00,2022-05-20 12:00:59.320318+08:00,Library,division-library,False,3,8,529,19,94,,,,1
12,2014-06-05 18:28:10.531000+08:00,,1,1,2014-06-05 18:28:10.531000+08:00,2022-05-20 12:00:59.499402+08:00,Science Support,division-support,False,4,8,529,19,8,<p>Work centre finance and budgets; administration; infrastructure; library; biometrics; directorate support</p>,,,1
18,2018-05-23 07:51:40.492539+08:00,,4,100934,2018-05-23 07:51:40.492562+08:00,2023-09-29 09:47:01.027931+08:00,Perth Zoo Science,zoo,True,110,101019,526,100446,101019,<p>Breed-for-release; animal biology; wildlife ecology; sustainable environment; communication;</p>,"<p>Perth Zoo Science Program undertakes targeted research to support the breed-for-release of seven threatened species. It also addresses knowledge gaps in our understanding of behaviour, reproductive biology and conservation medicine for the species in the Zoo&rsquo;s collection and smaller number of species in the wild. The research program involves projects dealing with environmental communication and socio-ecology.</p>",programs/zoo/WSThatchling2.jpg,1
