"id","staffid","keyword"
1,6,"birds"
2,6,"threatened birds"
3,6,"Pilbara birds"
4,6,"bird distribution"
5,6,"birds and fire"
7,6,"bristlebirds"
8,6,"biogeography"
9,6,"bird ecology"
10,15,"Epacridaceae"
11,15,"Ericaceae"
12,15,"Styphelioideae"
13,15,"Leucopogon"
14,15,"Monotoca"
18,21,"seed"
19,21,"seed collection"
20,21,"seed ecology"
21,21,"seed storage"
22,21,"germplasm"
23,21,"germplasm conservation"
24,21,"germination"
25,21,"germination biology"
26,21,"dormancy"
27,21,"dormancy-breaking"
28,21,"genebanking"
29,21,"ex-situ seed conservation"
30,37,"Uraba lugens"
31,37,"gumleaf skeletonizer"
32,37,"bullseye borer"
33,37,"Phoracantha acanthocera"
34,37,"psyllids"
35,37,"lerps"
36,37,"rural tree decline"
37,37,"forest health"
38,37,"forest insects"
39,37,"tree canopy insects"
40,37,"arboreal insect defoliation"
41,46,"wetlands"
42,46,"rivers"
43,46,"waterbirds"
44,44,"Executive Assistant to the Assistant Director, Science and Conservation Division"
45,46,"monitoring protocols"
46,46,"rangelands"
47,46,"salinity"
48,46,"river health"
49,46,"ostracods"
50,46,"copepods"
57,95,"wetland ecology"
60,95,"aquatic invertebrate biodiversity"
61,95,"aquatic oligochaetes"
62,95,"aquatic earthworms"
63,95,"salinity"
64,95,"wetland fauna"
65,133,"butterflies"
66,133,"butterfly conservation"
67,133,"sun moth"
68,134,"faunal extinctions"
69,134,"zoological history"
70,134,"ecological principles"
71,134,"scientific method"
72,134,"anthropogenic impacts"
74,134,"original distribution of bird and mammal species"
75,134,"ecological theories"
76,142,"grazing impacts on biodiversity"
77,77,"fire behaviour"
78,142,"biodiversity monitoring"
79,143,"plant nomenclature"
80,143,"naming of plants"
81,143,"Chenopodiaceae"
82,143,"taxonomy"
83,143,"samphire"
84,143,"samphires"
85,143,"bluebush"
86,143,"bluebushes"
87,143,"saltbush"
88,143,"saltbushes"
89,143,"Asteraceae"
90,143,"daisy"
91,143,"daisies"
92,143,"Rutaceae"
93,143,"Boronia"
94,143,"Phebalium"
95,143,"Philotheca"
96,143,"Diplolaena"
97,144,"Stylidium"
99,144,"Stylidiaceae"
103,145,"feral cat"
104,145,"Felis catus"
105,145,"introduced predator"
106,145,"bait"
107,145,"baiting"
108,145,"1080"
109,145,"sodium monofluoroacetate"
110,145,"motion sensor photography"
111,145,"camera trap"
112,146,"fire"
113,146,"landscape-scale ecology"
114,146,"grasstrees"
115,146,"Xanthorrhoea"
116,146,"nutrient cycling"
117,146,"fire history"
118,146,"jarrah forest"
119,146,"banksia woodland"
120,146,"soil seed banks"
121,146,"fire regime"
132,148,"invertebrates"
133,148,"spiders"
134,148,"arachnids"
135,148,"insects"
136,148,"biogeography"
137,148,"taxonomy"
138,148,"entomology"
139,148,"ants"
149,150,"carbon sequestration"
150,150,"climate change"
